Epoch [63/100] | Train Loss: 0.00098372 | Val Loss: 0.00104465 | Learning Rate: 0.000034
Epoch [64/100] | Train Loss: 0.00097958 | Val Loss: 0.00102604 | Learning Rate: 0.000032
Epoch [65/100] | Train Loss: 0.00097535 | Val Loss: 0.00103938 | Learning Rate: 0.000031
Epoch [66/100] | Train Loss: 0.00096969 | Val Loss: 0.00101857 | Learning Rate: 0.000029
Epoch [67/100] | Train Loss: 0.00096583 | Val Loss: 0.00102116 | Learning Rate: 0.000028
Epoch [68/100] | Train Loss: 0.00096184 | Val Loss: 0.00102049 | Learning Rate: 0.000026
Epoch [69/100] | Train Loss: 0.00095724 | Val Loss: 0.00101818 | Learning Rate: 0.000025
Epoch [70/100] | Train Loss: 0.00095417 | Val Loss: 0.00101399 | Learning Rate: 0.000023
Epoch [71/100] | Train Loss: 0.00094926 | Val Loss: 0.00100637 | Learning Rate: 0.000022
Epoch [72/100] | Train Loss: 0.00094610 | Val Loss: 0.00101444 | Learning Rate: 0.000021
Epoch [73/100] | Train Loss: 0.00094257 | Val Loss: 0.00102316 | Learning Rate: 0.000019
Epoch [74/100] | Train Loss: 0.00093830 | Val Loss: 0.00100282 | Learning Rate: 0.000018
Epoch [75/100] | Train Loss: 0.00093549 | Val Loss: 0.00100753 | Learning Rate: 0.000017
Epoch [76/100] | Train Loss: 0.00093106 | Val Loss: 0.00100474 | Learning Rate: 0.000016
Epoch [77/100] | Train Loss: 0.00092799 | Val Loss: 0.00100208 | Learning Rate: 0.000015
Epoch [78/100] | Train Loss: 0.00092462 | Val Loss: 0.00099504 | Learning Rate: 0.000014
Epoch [79/100] | Train Loss: 0.00092208 | Val Loss: 0.00100172 | Learning Rate: 0.000012
Epoch [80/100] | Train Loss: 0.00091885 | Val Loss: 0.00099299 | Learning Rate: 0.000011
Epoch [81/100] | Train Loss: 0.00091591 | Val Loss: 0.00099727 | Learning Rate: 0.000010
Epoch [82/100] | Train Loss: 0.00091379 | Val Loss: 0.00098900 | Learning Rate: 0.000010
Epoch [83/100] | Train Loss: 0.00091079 | Val Loss: 0.00099096 | Learning Rate: 0.000009
Epoch [84/100] | Train Loss: 0.00090847 | Val Loss: 0.00098623 | Learning Rate: 0.000008
Epoch [85/100] | Train Loss: 0.00090620 | Val Loss: 0.00098980 | Learning Rate: 0.000007
Epoch [86/100] | Train Loss: 0.00090296 | Val Loss: 0.00098433 | Learning Rate: 0.000006
Epoch [87/100] | Train Loss: 0.00090183 | Val Loss: 0.00098427 | Learning Rate: 0.000006
Epoch [88/100] | Train Loss: 0.00089955 | Val Loss: 0.00098026 | Learning Rate: 0.000005
Epoch [89/100] | Train Loss: 0.00089753 | Val Loss: 0.00098208 | Learning Rate: 0.000004
Epoch [90/100] | Train Loss: 0.00089656 | Val Loss: 0.00097899 | Learning Rate: 0.000004
Epoch [91/100] | Train Loss: 0.00089587 | Val Loss: 0.00098166 | Learning Rate: 0.000003
Epoch [92/100] | Train Loss: 0.00089328 | Val Loss: 0.00097890 | Learning Rate: 0.000003
Epoch [93/100] | Train Loss: 0.00089323 | Val Loss: 0.00097779 | Learning Rate: 0.000002
Epoch [94/100] | Train Loss: 0.00089106 | Val Loss: 0.00097888 | Learning Rate: 0.000002
Epoch [95/100] | Train Loss: 0.00088983 | Val Loss: 0.00097843 | Learning Rate: 0.000002
Epoch [96/100] | Train Loss: 0.00088981 | Val Loss: 0.00097613 | Learning Rate: 0.000001
Epoch [97/100] | Train Loss: 0.00088860 | Val Loss: 0.00097649 | Learning Rate: 0.000001
Epoch [98/100] | Train Loss: 0.00088822 | Val Loss: 0.00097618 | Learning Rate: 0.000001
Epoch [99/100] | Train Loss: 0.00088791 | Val Loss: 0.00097505 | Learning Rate: 0.000001
Epoch [100/100] | Train Loss: 0.00088761 | Val Loss: 0.00097659 | Learning Rate: 0.000001
Early stopping triggered at epoch 100
